EWHA_ORI_SPID	DB_Chemical_name	FINAL_CID	Hepatotoxicity	SCORE	HLT	PT	LIVERTOX_SCORE	LIVERTOX_REF_CONT	REF_FILE_NAME	REF_FILE_PAGE	SAMPLE_CLASS
LV_29	Allopurinol	135401907	1	3	Hepatocellular damage and hepatitis NEC	Hepatitis acute	A	More importantly, allopurinol has been linked to a very distinctive form of acute liver injury that is accompanied by prominent immunoallergic manifestations such as fever, rash, eosinophilia, lymphadenopathy, atypical lymphocytosis, thrombocytopenia, arthralgias and facial edema (drug reaction with eosinophilia and systemic symptoms — DRESS syndrome) (Case 1). 	Allopurinol.pdf	1	T_1_3
LV_30	Almotriptan	123606	0	3	NO_HLT	NO_PT	E	In large prospective controlled trials, the different triptans have not been associated with serum enzyme elevations or hepatotoxicity	SerotoninRcptAgonist.pdf	2	T_0_3
LV_31	Aloe Vera	369012	1	3	ETC	ETC	B	The typical pattern of injury is hepatocellular and the clinical course resembles acute viral hepatitis (Case 1).	AloeVera.pdf	1	T_1_3
LV_32	Alogliptin	11450633	0	3	NO_HLT	NO_PT	E	Since licensure, instances of serum enzyme elevations and acute hepatitis including acute liver failure attributed to alogliptin have been reported to the FDA and the sponsor.	Alogliptin.pdf	1	T_0_3
LV_33	Alogliptin	11450633	0	3	NO_HLT	NO_PT	E	The latency to onset was typically within 2 to 12 weeks of starting and the pattern of liver enzyme elevations was usually hepatocellular.	Alogliptin.pdf	1	T_0_3
LV_34	Alogliptin	11450633	0	3	NO_HLT	NO_PT	E	serum enzyme elevations were uncommon (1% to 3%) and no greater than with comparator arms or placebo. In these studies, no instances of clinically apparent liver injury with jaundice were reported. 	Alogliptin.pdf	1	T_0_3
LV_35	Alpelisib	56649450	1	3	ETC	ETC	E	 In these trials that enrolled less than 1000 patients, there were several reports of marked serum aminotransferase elevations that led to early discontinuation. However, the nature and clinical features of the liver injury were not provided and there were no cases of clinically apparent liver injury.	Alpelisib.pdf	2	T_1_3
LV_36	alpha-Tocopherol	14985	0	3	NO_HLT	NO_PT	E	However, in multiple controlled trials of vitamin E therapy there have been no reports of significant liver injury or jaundice with treatment.	VitaminE.pdf	2	T_0_3
LV_37	Alprazolam	2118	1	3	Cholestasis and jaundice	Cholestasis	D	In alprazolam related cases of acute liver injury, the latency has been within a few weeks and the typical pattern of liver enzyme elevations has been cholestatic or mixed (Case 1).	Alprazolam.pdf	1	T_1_3
LV_38	Alprazolam	2118	1	3	Cholestasis and jaundice	Cholestasis	D	 In alprazolam related cases of acute liver injury, the latency has been within a few weeks and the typical pattern of liver enzyme elevations has been cholestatic or mixed	Alprazolam.pdf	1	T_1_3
LV_39	Altretamine	2123	0	3	NO_HLT	NO_PT	E	Altretamine therapy is associated with a low rate of serum enzyme elevations, but these are generally mild and self limited, not requiring dose adjustment.	Altretamine.pdf	1	T_0_3
LV_40	Amantadine	2130	0	3	NO_HLT	NO_PT	E	Despite widespread use, there is little evidence that amantadine when given orally causes liver injury, either in the form of serum enzyme elevations or clinically apparent liver disease.	Amantadine.pdf	1	T_0_3
LV_41	Ambrisentan	6918493	1	3	Hepatocellular damage and hepatitis NEC	ETC	E	The onset of illness was usually within 1 to 6 months of starting bosentan and the enzyme pattern was typically hepatocellular or mixed.	Ambrisentan.pdf	1	T_1_3
LV_42	Amifampridine	5918	0	3	NO_HLT	NO_PT	E	Amifampridine has had limited clinical use, but adverse events have been largely neurologic and gastrointestinal.	Amifampridine.pdf	1	T_0_3
LV_43	Amikacin	37768	0	3	NO_HLT	NO_PT	E	Intravenous and intramuscular therapy with amikacin has not been linked to serum alkaline phosphatase or aminotransferase elevations, and no convincing cases of symptomatic or icteric hepatotoxicity due to amikacin have been published.	Amikacin.pdf	1	T_0_3
LV_44	Amiloride	16231	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	D	miloride/hydrochlorothiazide induced acute liver injury.	Amiloride.pdf	2	T_1_3
LV_45	Amiodarone	2157	1	3	Cholestasis and jaundice	Jaundice	B	Hepatic injury arises after 1 to 6 months of therapy presenting with jaundice and fatigue, usually with a hepatocellular pattern of enzyme elevations. 	Benzbromarone.pdf	1	T_1_3
LV_46	Amitriptyline	2160	1	3	Cholestasis and jaundice	Hepatitis cholestatic	B	The reported pattern of serum enzyme elevations has varied from hepatocellular to cholestatic.	Amitriptyline.pdf	2	T_1_3
LV_47	Amlodipine	2162	1	3	Cholestasis and jaundice	Cholestasis	C	Clinically apparent liver injury from amlodipine is rare and described only in isolated case reports	Amlodipine.pdf	1	T_1_3
LV_48	Amlodipine	2162	1	3	Cholestasis and jaundice	Cholestasis	C	The pattern of serum enzyme elevations is usually mixed or cholestatic.	Amlodipine.pdf	1	T_1_3
LV_49	Amobarbital	2164	0	3	NO_HLT	NO_PT	E	Despite wide scale previous use, there is little evidence that the conventional barbiturates used as sedatives or preanesthetic agents can cause liver injury, either serum enzyme elevations during therapy or clinically apparent acute liver disease.	Barbiturates.pdf	2	T_0_3
LV_50	Amodiaquine	2165	1	3	Hepatocellular damage and hepatitis NEC	Hepatocellular injury	A	The pattern of serum enzyme elevations is most frequently hepatocellular, and symptoms resembling acute viral hepatitis are typical.	Amodiaquine.pdf	1	T_1_3
LV_51	Amoxapine	2170	1	3	Hepatocellular damage and hepatitis NEC	ETC	E	The onset of injury was within 1 to 4 weeks of starting, and the pattern of serum enzyme elevations was hepatocellular.	Amoxapine.pdf	1	T_1_3
LV_52	Amoxicillin	33613	1	3	Cholestasis and jaundice	Cholestasis	B	In addition, cholestatic forms of hepatic injury with marked alkaline phosphatase elevations (as also seen with penicillin-induced liver injury) have also been described, some of which have been associated with prolonged cholestasis (Case 1).	Amoxicillin.pdf	1	T_1_3
LV_53	Amoxicillin	33613	1	3	Cholestasis and jaundice	Cholestasis	B	In addition, cholestatic forms of hepatic injury with marked alkaline phosphatase elevations (as also seen with penicillin-induced liver injury) have also been described, some of which have been associated with prolonged cholestasis (Case 1)	Amoxicillin.pdf	1	T_1_3
LV_54	Amoxicillin	33613	1	3	Cholestasis and jaundice	Cholestasis	B	The onset is typically with fatigue, low grade fever, nausea and abdominal pain, followed by pruritus and jaundice.	AmoxicillinClavulana.pdf	1	T_1_3
LV_55	Amoxicillin-Clavulanate	9830620	1	3	Cholestasis and jaundice	Jaundice	A	The onset is typically with fatigue, low grade fever, nausea and abdominal pain, followed by pruritus and jaundice.	AmoxicillinClavulana.pdf	1	T_1_3
LV_56	Amphetamine	3007	1	3	Hepatic failure and associated disorders	Acute hepatic failure	A[HD]	The synthetic amphetamine methylenedioxymethamphetamine (MDMA, but known familiarly as “ecstasy”) has been implicated in the largest number of cases, many of which were severe and led to acute liver failure and death. 	Amphetamines.pdf	2	T_1_3
LV_57	Amphotericin B	5280965	1	3	Cholestasis and jaundice	Hyperbilirubinemia	C	In addition, isolated but dramatic instances of hyperbilirubinemia arising within days of starting amphotericin have been reported with elevations largely in the direct (conjugated) bilirubin fraction.	AmphotericinB.pdf	1	T_1_3
LV_58	Ampicillin	6249	1	3	Cholestasis and jaundice	Cholestasis	C	In addition, cholestatic forms of hepatic injury with marked alkaline phosphatase elevations (as also seen with penicillin-induced liver injury) have also been described, some of which have been associated with prolonged cholestasis and, rarely, with vanishing bile duct syndrome.	Ampicillin.pdf	1	T_1_3
LV_59	Ampicillin-Sulbactam	119561	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	C	The reactions have been attributed to ampicillin rather than sulbactam and resemble the hepatic injury that occurs with ampicillin or amoxicillin alone.	AmpicillinSulbactam.pdf	1	T_1_3
LV_60	Amprenavir	65016	1	3	Hepatocellular damage and hepatitis NEC	Hepatocellular injury	D	The few cases of symptomatic liver injury that have been reported have arisen after 1 to 8 weeks of starting the agent, and the pattern of serum enzyme elevations has not been well defined, but probably largely hepatocellular	AmprenavirFosampren.pdf	2	T_1_3
LV_61	Anagrelide	135409400	0	3	NO_HLT	NO_PT	E	In preregistration studies, anagrelide was not associated with serum enzyme elevations or with episodes of clinically apparent liver injury. 	Anagrelide.pdf	1	T_0_3
LV_62	Anastrozole	2187	1	3	Cholestasis and jaundice	ETC	C	anastrozole has been linked to cases of hypersensitivity reactions and Stevens-Johnson syndrome as well as cases of hepatitis with jaundice.	Anastrozole.pdf	1	T_1_3
LV_63	Anastrozole	2187	1	3	Hepatocellular damage and hepatitis NEC	Hepatitis	C	There have been no cases of acute liver failure, chronic hepatitis or vanishing bile duct syndrome attributed to anastrozole use.	Anastrozole.pdf	1	T_1_3
LV_64	Anidulafungin	166548	1	3	Hepatic failure and associated disorders	Acute hepatic failure	D	Nevertheless, the product label for all three echinocandins mentions adverse events of serum enzyme elevations, hepatitis and acute liver failure.	Echinocandins.pdf	2	T_1_3
LV_65	Apalutamide	24872560	1	3	Cholestasis and jaundice	Jaundice	E*	Other androgen receptor blockers, such as flutamide and bicalutamide, have been linked to rare cases of hepatitis-like liver injury with jaundice that can be severe and even fatal.	Apalutamide.pdf	1	T_1_3
LV_66	Apomorphine	6005	0	3	NO_HLT	NO_PT	E	Apomorphine has not been reported to cause serum aminotransferase elevations or clinically apparent acute liver injury, but its use has been limited and is typically given in low doses for a limited period of time.	Apomorphine.pdf	1	T_0_3
LV_67	Apremilast	11561674	0	3	NO_HLT	NO_PT	E	Because apremilast is immunosuppressive, it may cause reactivation of viral infections including hepatitis B, but such cases have not been reported.	Apremilast.pdf	1	T_0_3
LV_68	Aprepitant	135413536	0	3	NO_HLT	NO_PT	E	There have been no convincing cases of clinically apparent liver injury attributable to aprepitant published in the literature and thus, significant liver injury from aprepitant or fosaprepitant must be exceeding rare if it occurs at all.	Aprepitant.pdf	1	T_0_3
LV_69	Aprepitant	135413536	0	3	NO_HLT	NO_PT	E	The aminotransferase elevations were transient, mild to moderate in severity, and not associated with symptoms or jaundice.	Aprepitant.pdf	1	T_0_3
LV_70	Aripiprazole	60795	0	3	NO_HLT	NO_PT	E	Despite its widescale use, there have been no published reports of clinically apparent acute liver injury attributable to aripiprazole.	Aripiprazole.pdf	1	T_0_3
LV_71	Armodafinil	9690109	0	3	NO_HLT	NO_PT	E	Furthermore, despite widescale use, there have not been reports of clinically apparent liver injury due to modafinil or armodafinil. 	ModafinilArmodafinil.pdf	1	T_0_3
LV_72	Armodafinil	9690109	0	3	NO_HLT	NO_PT	E	despite widescale use, there have not been reports of clinically apparent liver injury due to modafinil or armodafinil.	ModafinilArmodafinil.pdf	1	T_0_3
LV_73	Arsenic Trioxide	14888	1	3	Hepatic failure and associated disorders	Acute hepatic failure	A	Nevertheless, more severe hepatic injury has been reported including cases of acute liver failure, although the clinical features of the injury and relatedness to the therapy were not well defined.	Arsenic.pdf	2	T_1_3
LV_74	Artemisinin	68827	1	3	Hepatocellular damage and hepatitis NEC	Hepatocellular injury	D	The onset of injury was usually within a few days to weeks of starting artemisinin, and the pattern of serum enzyme elevations was typically hepatocellular.	ArtemisininDerivativ.pdf	1	T_1_3
LV_75	Articaine	32170	0	3	NO_HLT	NO_PT	E	In clinical trials with the amide local anesthetics, serum aminotransferase and alkaline phosphatase elevations were rarely reported and were generally no more common than with placebo or comparator injections. Despite widespread use for many decades, the local amide anesthetics, when given as single or limited injections or infusions, have not been convincingly linked to instances of clinically apparent liver injury, and liver toxicity is not mentioned in product labels.	AmideLocalAnesthetic.pdf	1	T_0_3
LV_76	Ascorbic Acid	54670067	0	3	NO_HLT	NO_PT	E	Neither normal nor moderately high intakes of vitamin C are associated with liver injury or liver test abnormalities	VitaminC.pdf	1	T_0_3
LV_77	Asenapine	163091	1	3	Cholestasis and jaundice	Cholestasis	D	Thus, asenapine may be a rare cause of mild cholestatic liver injury.	Asenapine.pdf	1	T_1_3
LV_78	Asparaginase	5460875	1	3	Hepatocellular damage and hepatitis NEC	Hepatic steatosis	A	The hepatic dysfunction is accompanied by hepatic steatosis which can be severe and accompanied by jaundice, hepatomegaly and evidence of hepatic failure (somnolence, coma, ascites). 	Asparaginase.pdf	2	T_1_3
LV_79	Aspirin	2244	1	3	Hepatic enzymes and function abnormalities	Hepatic function abnormal	A	The hepatotoxicity of aspirin is usually mild and asymptomatic, although with higher doses symptoms of nausea, anorexia and abdominal pain and even encephalopathy with signs of hepatic dysfunction (hyperammonemia and coagulopathy) can occur.	Aspirin.pdf	2	T_1_3
LV_80	Astragalus	2782115	0	3	NO_HLT	NO_PT	E	In the few human studies that have been published there were no reports of serum enzyme elevations occurring during therapy and no mention of serious adverse events or hepatotoxicity.	Astragalus.pdf	1	T_0_3
LV_81	Atazanavir	148192	1	3	Cholestasis and jaundice	Cholestasis	D	The liver injury typically arises 1 to 8 weeks after starting the protease inhibitor and has variable patterns of liver enzyme elevation, from hepatocellular to cholestatic. Signs of hypersensitivity (fever, rash, eosinophilia) are rare, as is autoantibody formation.	Atazanavir.pdf	2	T_1_3
LV_82	Atenolol	2249	1	3	Hepatocellular damage and hepatitis NEC	ETC	D	The onset of injury has been within 1 to 4 weeks and pattern of liver enzyme elevations has been hepatocellular or mixed. 	Atenolol.pdf	1	T_1_3
LV_83	Atomoxetine	54841	1	3	Hepatic failure and associated disorders	Acute on chronic liver failure	C	Most cases have been self-limited, but instances of acute liver failure sometimes requiring emergency liver transplantation have been reported.	Atomoxetine.pdf	1	T_1_3
LV_84	Atorvastatin	60823	1	3	Hepatocellular damage and hepatitis NEC	Cholestatic liver injury	A	The clinical presentation of atorvastatin hepatotoxicity varies greatly from simple cholestatic hepatitis, to mixed forms, to frankly hepatocellular injury.	Atorvastatin.pdf	1	T_1_3
LV_85	Atovaquone	74989	1	3	Cholestasis and jaundice	ETC	D	Th e pattern of serum enzyme elevations was cholestatic. 	Atovaquone.pdf	1	T_1_3
LV_86	Atropine	174174	0	3	NO_HLT	NO_PT	E	Despite widespread use over many decades, atropine has not been linked convincingly to episodes of liver enzyme elevations or clinically apparent liver injury.	Atropine_Homatropine.pdf	1	T_0_3
LV_87	Auranofin	24199313	0	3	NO_HLT	NO_PT	E	Oral gold therapy has been associated with transient, mild elevations in serum aminotransferase levels, but there have been no convincing cases of clinically significant liver injury linked to oral preparations. Thus, idiosyncratic acute liver injury due to auranofin must be very rare, if it occurs at all.	Gold_Preparations.pdf	2	T_0_3
LV_88	Avanafil	9869929	0	3	NO_HLT	NO_PT	E*	Whether avanafil can cause a similar form of acute liver injury is not yet known.	Avanafil.pdf	1	T_0_3
LV_89	Avatrombopag	9852519	1	3	ETC	ETC	E	In prelicensure clinical trials, portal vein thrombosis occurred in some patients after avatrombopag therapy, but the frequency was low and only minimally higher than with placebo treatment. Since its approval, there have been no published reports of clinically apparent liver injury attributable to avatrombopag therapy but it has had limited clinical use.	ThrombopoietinRecept.pdf	3	T_1_3
LV_90	Axitinib	6450551	1	3	Hepatic enzymes and function abnormalities	Hepatic function abnormal	E	In large clinical trials of axitinib, elevations in serum aminotransferase levels were common, occurring in up to 25% of patients.	Axitinib.pdf	1	T_1_3
LV_91	Azacitidine	9444	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	E	Hepatotoxicity from azacitidine appears to be rare and confined mostly to patients with underlying liver disease. For these reasons, the liver injury is likely due to direct toxicity.	Azacitidine.pdf	2	T_1_3
LV_92	Azathioprine	2265	1	3	Cholestasis and jaundice	Cholestasis	A	Azathioprine has been associated with several forms of hepatotoxicity, including mild, transient and asymptomatic rises in serum aminotransferase levels, an acute cholestatic injury developing during the first year of starting therapy, and a chronic hepatic injury marked by peliosis hepatis, veno-occlusive disease or nodular regenerative hyperplasia that typically arises 1 to 5 years after starting azathioprine.	Azathioprine.pdf	1	T_1_3
LV_93	Azithromycin Dihydrate	3033819	1	3	Hepatocellular damage and hepatitis NEC	Drug-induced liver injury	A	Because azithromycin has become so commonly used, it has also become one of the more common causes of drug induced liver injury.	Azithromycin.pdf	2	T_1_3
LV_94	Aztreonam	5742832	0	3	NO_HLT	NO_PT	E	Cases of frank liver injury and jaundice attributable to aztreonam must be extremely rare as no individual cases have been reported.	Aztreonam.pdf	1	T_0_3
LV_95	Baclofen	2284	0	3	NO_HLT	NO_PT	D	The product insert starts that 5% of treated patients develop mild serum aminotransferase elevations, but little documentation is available on the significance, severity or duration of these abnormalities.	Baclofen.pdf	1	T_0_3
LV_96	Baicalin	64982	1	3	Hepatocellular damage and hepatitis NEC	Mixed liver injury	C	The time to onset was 1 to 5 months, and the pattern of enzyme elevations was usually hepatocellular or mixed.	Flavocoxid.pdf	1	T_1_3
LV_97	Baloxavir	124081896	0	3	NO_HLT	NO_PT	E	In clinical trials, there was little evidence that baloxavir caused liver injury, either in the form of serum enzyme elevations or clinically apparent liver disease.	Baloxavir.pdf	1	T_0_3
LV_98	Balsalazide	54585	1	3	Hepatic failure and associated disorders	Hepatic failure	C	While fewer cases of hepatotoxicity have been reported with balsalazide and olsalazide than mesalamine, reports of enzyme elevations, jaundice, hepatitis and hepatic failure and death have been reported to the sponsor for these prodrugs.	Mesalamine.pdf	2	T_1_3
LV_99	Baricitinib	44205240	1	3	Hepatic viral infections	Hepatitis viral	E	Finally, baricitinib is an immune modulatory agent and has the potential of causing reactivation of viral infections including hepatitis B.	Baricitinib.pdf	2	T_1_3
LV_100	Bazedoxifene	154257	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	E	unlikely cause of clinically apparent liver injury, but suspected to be capable of causing the liver injury reported with other SERMs and estrogens	SERMS.pdf	4	T_1_3
LV_101	Bedaquiline	5388906	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	E*	Liver test abnormalities occur in 8% to 12% of patients treated with multiple drug regimens that include bedaquiline.	Bedaquiline.pdf	1	T_1_3
LV_102	Belinostat	6918638	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	D	A single instance of severe acute liver injury leading to death from liver failure was reported in an open label trial of belinostat monotherapy in 120 patients with PTCL.	Belinostat.pdf	1	T_1_3
LV_103	Benazepril	5362124	1	3	Cholestasis and jaundice	Cholestasis	D	Most instances of acute liver injury reported with ACE inhibitors have been self limited, but there have been rare reports of acute liver failure due to captopril, enalapril, lisinopril and benazepril and several reports of cholestatic hepatitis due to ACE inhibitors including benazepril leading to prolonged jaundice and vanishing bile duct syndrome.	Benazepril.pdf	1	T_1_3
LV_104	Bendamustine	65628	1	3	Hepatic viral infections	ETC	C	Acute hypersensitivity reaction with hepatitis attributed to bendamustine	Bendamustine.pdf	2	T_1_3
LV_105	Bendroflumethiazide	2315	1	3	Cholestasis and jaundice	Hepatitis cholestatic	E	The usual latency period to onset has been short (few days to several weeks) and the pattern of serum enzyme elevations has ranged from hepatocellular, to mixed and cholestatic (Cases 1 and 2).	ThiazideDiuretics.pdf	2	T_1_3
LV_106	Benzarone	255968	1	3	Cholestasis and jaundice	Jaundice	B	Hepatic injury arises after 1 to 6 months of therapy presenting with jaundice and fatigue, usually with a hepatocellular pattern of enzyme elevations. 	Benzbromarone.pdf	1	T_1_3
LV_107	Benzbromarone	2333	1	3	Cholestasis and jaundice	Jaundice	B	Hepatic injury arises after 1 to 6 months of therapy presenting with jaundice and fatigue, usually with a hepatocellular pattern of enzyme elevations. 	Benzbromarone.pdf	1	T_1_3
LV_108	Benznidazole	31593	1	3	Hepatocellular damage and hepatitis NEC	Hepatitis	D	However, there have been case reports of drug rash with eosinophilia and systemic symptoms (DRESS syndrome) accompanied by serum enzyme elevations associated with benznidazole therapy, and cases of immunoallergic hepatitis have been reported with other nitroimidazoles such as metronidazole and ornidazole, some of which have been severe.	Benznidazole.pdf	1	T_1_3
LV_109	Benzoate	243	0	3	NO_HLT	NO_PT	E	Sodium benzoate has not been linked to instances of clinically apparent liver injury with jaundice.	Phenylbutyrate.pdf	3	T_0_3
LV_110	Benztropine	1201549	0	3	NO_HLT	NO_PT	E	 there have been no reports of benztropine liver injury in the literature and it must be a very rare cause of liver injury, if it occurs at all. 	Benztropine.pdf	1	T_0_3
LV_111	Berberine	2353	0	3	NO_HLT	NO_PT	E	Despite wide scale use as an herbal supplement, berberine has not been linked to published instances of clinically apparent liver injury. 	Berberine.pdf	1	T_0_3
LV_112	Betaine	247	0	3	NO_HLT	NO_PT	E	In small, open label trials of betaine therapy for homocystinuria as well as in small controlled trials of betaine in other conditions (Alzheimer disease, nonalcoholic steatohepatitis), serum enzyme elevations and clinically apparent liver injury were not reported.	Betaine.pdf	1	T_0_3
LV_113	Betamethasone	9782	1	3	Hepatocellular damage and hepatitis NEC	Hepatic steatosis	NO_SCORE	Glucocorticoid use can result in hepatic enlargement and steatosis or glycogenosis.	Corticosteroids.pdf	4	T_1_3
